User Name: asdf || Date: 2021-12-31T17:02:06.407980200-05:00[America/New_York] INVALID LOGIN ATTEMPT
User Name: test || Date: 2021-12-31T17:02:26.928483800-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-03T19:40:30.640046300-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: asdf || Date: 2022-01-04T08:01:38.538477100-05:00[America/New_York] INVALID LOGIN ATTEMPT
User Name: lkjh || Date: 2022-01-04T08:38:01.529611700-05:00[America/New_York] INVALID LOGIN ATTEMPT
User Name: test || Date: 2022-01-04T08:43:22.874464300-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T07:50:59.827655700-06:00[America/Chicago] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T09:29:30.097282500-06:00[America/Chicago] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T09:54:07.367755900-06:00[America/Chicago] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T09:54:52.278802600-06:00[America/Chicago] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T10:03:57.359351200-06:00[America/Chicago] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:39:06.397878400-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:45:31.021039700-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:50:57.901587600-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:52:29.829363-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:53:32.269185800-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:58:14.893758800-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:58:35.820609700-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T11:59:07.685353-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:17:02.060924500-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:30:11.092311600-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:34:31.556528400-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:34:52.099862-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:49:59.547388400-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:53:08.979211500-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T17:55:10.419030700-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:03:26.091358-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:04:30.171128100-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:05:19.580168300-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:12:58.515129500-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:13:56.371136900-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:20:34.963188900-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T18:23:00.578702400-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T19:01:52.106116300-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-04T19:02:11.897670900-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-07T09:51:22.355330800-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-07T10:03:12.440356100-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T13:50:25.603881400-05:00[America/New_York] LOGIN SUCCESSFUL
User Name: asdf || Date: 2022-01-12T13:54:05.053330200Z[UTC] INVALID LOGIN ATTEMPT
User Name: test || Date: 2022-01-12T13:54:50.708351100Z[UTC] LOGIN SUCCESSFUL
User Name: asdf || Date: 2022-01-12T13:58:34.140330800 INVALID LOGIN ATTEMPT
User Name: asdf || Date: 2022-01-12T19:04:25.040970100Z[UTC] INVALID LOGIN ATTEMPT
User Name: test || Date: 2022-01-12T19:04:42.208871300Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T19:05:59.432927800Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T19:08:20.337260100Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T19:13:05.576723300Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T19:13:46.072918500Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T19:15:05.480857Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T21:20:09.694229600Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-12T21:23:15.629287700Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-18T14:42:50.348406600Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-18T14:46:04.388210800Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-18T14:48:57.043934900Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-18T14:52:55.947469800Z[UTC] LOGIN SUCCESSFUL
User Name: test || Date: 2022-01-18T14:54:18.651339100Z[UTC] LOGIN SUCCESSFUL
